time,water usage dl
2025-03-01 00:00,0
2025-03-01 00:15,0
2025-03-01 00:30,0
2025-03-01 00:45,0
2025-03-01 01:00,0
2025-03-01 01:15,0
2025-03-01 01:30,0
2025-03-01 01:45,0
2025-03-01 02:00,0
2025-03-01 02:15,0
2025-03-01 02:30,0
2025-03-01 02:45,0
2025-03-01 03:00,0
2025-03-01 03:15,0
2025-03-01 03:30,0
2025-03-01 03:45,0
2025-03-01 04:00,0
2025-03-01 04:15,0
2025-03-01 04:30,0
2025-03-01 04:45,0
2025-03-01 05:00,0
2025-03-01 05:15,0
2025-03-01 05:30,0
2025-03-01 05:45,0
2025-03-01 06:00,0
2025-03-01 06:15,0
2025-03-01 06:30,0
2025-03-01 06:45,0
2025-03-01 07:00,0
2025-03-01 07:15,0
2025-03-01 07:30,0
2025-03-01 07:45,0
2025-03-01 08:00,0
2025-03-01 08:15,0
2025-03-01 08:30,0
2025-03-01 08:45,0
2025-03-01 09:00,0
2025-03-01 09:15,0
2025-03-01 09:30,0
2025-03-01 09:45,0
2025-03-01 10:00,0
2025-03-01 10:15,0
2025-03-01 10:30,0
2025-03-01 10:45,0
2025-03-01 11:00,0
2025-03-01 11:15,0
2025-03-01 11:30,0
2025-03-01 11:45,0
2025-03-01 12:00,0
2025-03-01 12:15,0
2025-03-01 12:30,0
2025-03-01 12:45,0
2025-03-01 13:00,0
2025-03-01 13:15,0
2025-03-01 13:30,0
2025-03-01 13:45,0
2025-03-01 14:00,0
2025-03-01 14:15,0
2025-03-01 14:30,0
2025-03-01 14:45,0
2025-03-01 15:00,0
2025-03-01 15:15,0
2025-03-01 15:30,0
2025-03-01 15:45,0
2025-03-01 16:00,0
2025-03-01 16:15,0
2025-03-01 16:30,0
2025-03-01 16:45,0
2025-03-01 17:00,0
2025-03-01 17:15,0
2025-03-01 17:30,0
2025-03-01 17:45,0
2025-03-01 18:00,0
2025-03-01 18:15,0
2025-03-01 18:30,0
2025-03-01 18:45,0
2025-03-01 19:00,0
2025-03-01 19:15,0
2025-03-01 19:30,0
2025-03-01 19:45,0
2025-03-01 20:00,0
2025-03-01 20:15,0
2025-03-01 20:30,0
2025-03-01 20:45,0
2025-03-01 21:00,0
2025-03-01 21:15,0
2025-03-01 21:30,0
2025-03-01 21:45,0
2025-03-01 22:00,0
2025-03-01 22:15,0
2025-03-01 22:30,0
2025-03-01 22:45,0
2025-03-01 23:00,0
2025-03-01 23:15,0
2025-03-01 23:30,0
2025-03-01 23:45,0
2025-03-02 00:00,0
